Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Adhikary, Sunandan; Koley, Ipsita; Ghosh, Saurav Kumar; Ghosh, Sumana; Dey, Soumyajit; Mukhopadhyay, Debdeep; ",Skip to secure: Securing cyber-physical control loops with intentionally skipped executions,Proceedings of the 2020 Joint Workshop on CPS&IoT Security and Privacy,,,81-86,2020,
"Adhikary, Sunandan; Gurung, Amit; Thakkar, Jay; Da Costa, Antonio Bruto; Dey, Soumyajit; Hazra, Aritra; Dasgupta, Pallab; ",SMT-based verification of safety-critical embedded control software,IEEE Embedded Systems Letters,13,3,138-141,2020,IEEE
"Koley, Ipsita; Adhikary, Sunandan; Dey, Soumyajit; ",Catch me if you learn: Real-time attack detection and mitigation in learning enabled cps,2021 IEEE Real-Time Systems Symposium (RTSS),,,136-148,2021,IEEE
"Adhikary, Sunandan; Koley, Ipsita; Maity, Srijeeta; Dey, Soumyajit; ",Work-in-progress: Control skipping sequence synthesis to counter schedule-based attacks,2022 IEEE Real-Time Systems Symposium (RTSS),,,491-494,2022,IEEE
"Koley, Ipsita; Adhikary, Sunandan; Rohit, Rohit; Dey, Soumyajit; ",A Framework for Evaluating Connected Vehicle Security against False Data Injection Attacks,2022 25th Euromicro Conference on Digital System Design (DSD),,,913-920,2022,IEEE
"Koley, Ipsita; Adhikary, Sunandan; Sain, Arkaprava; Dey, Soumyajit; ","Design and Deployment of Resilient Control Execution Patterns: A Prediction, Mitigation Approach",Proceedings of the ACM/IEEE 14th International Conference on Cyber-Physical Systems (with CPS-IoT Week 2023),,,166-176,2023,
"Roy, Anik; Koley, Ipsita; Adhikary, Sunandan; Dey, Soumyajit; ",Optimizing RSU Placements for Securing Vehicle Platoon Against False Data Injection Attacks,Proceedings of the ACM/IEEE 14th International Conference on Cyber-Physical Systems (with CPS-IoT Week 2023),,,251-252,2023,
"Bhattacharya, Akash; Adhikary, Sunandan; Koley, Ipsita; Majumder, Anirban; Dey, Soumyajit; ",Adaptive CUSUM-Based Residue Analysis for Stealthy Attack Detection in Cyber-Physical Systems,Proceedings of the ACM/IEEE 14th International Conference on Cyber-Physical Systems (with CPS-IoT Week 2023),,,270-271,2023,
"Adhikary, Sunandan; Koley, Ipsita; Sain, Arkaprava; Saha, Shuvam; Dey, Soumyajit; ",Concealing CAN Message Sequences to Prevent Schedule-based Bus-off Attacks,arXiv preprint arXiv:2306.09206,,,,2023,
"Maiti, Suman; Adhikary, Sunandan; Koley, Ipsita; Dey, Soumyajit; ",A Learning Assisted Method for Uncovering Power Grid Generation and Distribution System Vulnerabilities,arXiv preprint arXiv:2306.09057,,,,2023,
"Sain, Arkaprava; Singh, Suraj; Adhikary, Sunandan; Koley, Ipsita; Dey, Soumyajit; ",Work-in-Progress: Securing Safety-Critical Control Tasks with Attack-aware Multi-Rate Scheduling,2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS),,,345-348,2023,IEEE
"Dey, Soumyajit; Koley, Ipsita; Adhikary, Sunandan; ",Resource aware synthesis of automotive security primitives,Machine Learning and Optimization Techniques for Automotive Cyber-Physical Systems,,,189-224,2023,Springer International Publishing Cham
"Maiti, Suman; Balabhaskara, Anjana; Adhikary, Sunandan; Koley, Ipsita; Dey, Soumyajit; ",Targeted attack synthesis for smart grid vulnerability analysis,Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,,,2576-2590,2023,
"Maiti, Suman; Adhikary, Sunandan; Dey, Soumyajit; Hota, Ashish R; ",Learning-Enabled Adaptive Voltage Protection Against Load Alteration Attacks On Smart Grids,arXiv preprint arXiv:2411.15229,,,,2024,
"Balabhaskara, Anjana; Adhikary, Sunandan; Koley, Ipsita; Dey, Soumyajit; Hota, Ashish R; ",Adaptive Protection of Power Grids against Stealthy Load Alterations,2024 ACM/IEEE 15th International Conference on Cyber-Physical Systems (ICCPS),,,285-286,2024,IEEE
"Sain, Arkaprava; Adhikary, Sunandan; Koley, Ipsita; Dey, Soumyajit; ",MAARS: Multi-Rate Attack-Aware Randomized Scheduling for Securing Real-time Systems,Proceedings of the ACM/IEEE 16th International Conference on Cyber-Physical Systems (with CPS-IoT Week 2025),,,1-12,2025,
"Koley, Ipsita; Adhikary, Sunandan; Dey, Soumyajit; ",Thinking beyond bus-off: Targeted control falsification in CAN,2024 ACM/IEEE 15th International Conference on Cyber-Physical Systems (ICCPS),,,33-44,2024,IEEE Computer Society
"Kukkala, Vipin Kumar; Pasricha, Sudeep; ",Machine Learning and Optimization Techniques for Automotive Cyber-Physical Systems,,,,,2023,Springer Nature
"Bhattacharya, Akash; Singh, Suraj; Adhikary, Sunandan; Dey, Soumyajit; ",Detecting Stealthy False Data Injections on Cyber-Physical Systems using Temporal Distance Metrics,Proceedings of the ACM/IEEE 16th International Conference on Cyber-Physical Systems (with CPS-IoT Week 2025),,,1-2,2025,
"Adhikary, Sunandan; Koley, Ipsita; Ghosh, Saurav Kumar; Ghosh, Sumana; Dey, Soumyajit; ",Revisiting Dynamic Scheduling of Control Tasks: A Performance-Aware Fine-Grained Approach,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,11,3662-3673,2024,IEEE
"Anjana, B; Maiti, Suman; Adhikary, Sunandan; Dey, Soumyajit; Hota, Ashish R; ",Learning-Enabled Adaptive Voltage Protection Against Load Alteration Attacks On Smart Grids,arXiv e-prints,,,arXiv: 2411.15229,2024,
"Sain, Arkaprava; Adhikary, Sunandan; Koley, Ipsita; Dey, Soumyajit; ",Enhancing Attack Resilience in Real-Time Systems through Variable Control Task Sampling Rates,arXiv preprint arXiv:2408.00341,,,,2024,
"Roy, Anik; Koley, Ipsita; Adhikary, Sunandan; Sarkar, Arnab; Dey, Soumyajit; ",RSU Placement Optimization for Securing Vehicle Platoon Against False Injection Attacks,ACM Transactions on Cyber-Physical Systems,,,,2025,"ACM New York, NY"
"Bhattacharya, Akash; Adhikary, Sunandan; Koley, Ipsita; Loya, Vivek; Dey, Soumyajit; ",Adaptive Parameterisation for Efficient Detection of False Data Injections,ACM Transactions on Embedded Computing Systems,25,1,1-30,2026,"ACM New York, NY"
"Sain, Arkaprava; Adhikary, Sunandan; Dey, Soumyajit; ",Mitigating Timing-Based Attacks in Real-Time Cyber-Physical Systems,arXiv preprint arXiv:2602.03757,,,,2026,
"Adhikary, Sunandan; Dey, Soumyajit; ",Safe Controller Synthesis Using Lyapunov-based Barriers for Linear Hybrid Systems with Simplex Architecture,arXiv preprint arXiv:2602.12638,,,,2026,
